Filename 1,Filename 2,Max SSIM,Max nccorr,Max SSIM angle,Max nccorr angle,ROI 1 x,ROI 1 y,ROI 2 x,ROI 2 y
bat_111511_frame0112.jpg_bird_981819_frame0119.jp,g,0.9949465773987074,0.9897579,32,20,38,214,592,181
bat_111511_frame0112.jpg_bird_981819_frame0145.jp,g,0.9877310368273384,0.9866297,24,192,38,214,503,85
bat_111511_frame0112.jpg_bird_981819_frame0153.jp,g,0.9922861879889774,0.98267114,44,172,38,214,474,53
bat_111511_frame0221.jpg_bird_185554_frame0115.jp,g,0.45851174594965083,0.98753875,144,20,52,282,552,349
bat_111511_frame0221.jpg_bird_185554_frame0217.jp,g,0.7018378824849645,0.9875866,260,60,52,282,142,47
bat_111511_frame0221.jpg_bird_185554_frame0224.jp,g,0.8270489094600655,0.9881565,260,160,52,282,115,87
bat_111511_frame0221.jpg_bird_185554_frame0226.jp,g,0.7511301248254842,0.98885447,260,72,52,282,107,83
bat_111511_frame0221.jpg_bird_194086_frame0010.jp,g,0.9875795290671903,0.98905927,40,160,52,282,509,81
bat_111511_frame0221.jpg_bird_194086_frame0014.jp,g,0.9855979581370736,0.98043805,40,72,52,282,503,82
bat_111511_frame0221.jpg_bird_239352_frame0027.jp,g,0.9934071658071427,0.9875704,252,160,52,282,86,200
bat_111511_frame0221.jpg_bird_239352_frame0045.jp,g,0.9928205348754269,0.98263925,28,160,52,282,44,133
bat_111511_frame0221.jpg_bird_239352_frame0052.jp,g,0.9601846583703049,0.97440386,248,140,52,282,113,95
bat_111511_frame0221.jpg_bird_239352_frame0057.jp,g,0.9703439162988319,0.97667545,40,160,52,282,105,74
bat_111511_frame0221.jpg_bird_288970_frame0169.jp,g,0.9955888158776312,0.98533773,260,20,52,282,556,223
bat_111511_frame0221.jpg_bird_288970_frame0175.jp,g,0.9994758571684216,0.98904955,96,0,52,282,552,207
bat_111511_frame0221.jpg_bird_344369_frame0116.jp,g,0.9944392466376686,0.9855839,164,160,52,282,583,294
bat_111511_frame0221.jpg_bird_344369_frame0136.jp,g,0.9906527047256742,0.98708856,180,16,52,282,533,283
bat_111511_frame0221.jpg_bird_418385_frame0313.jp,g,0.9697117807162594,0.9871144,228,160,52,282,80,164
bat_111511_frame0221.jpg_bird_418385_frame0341.jp,g,0.9687306518014153,0.9873762,32,20,52,282,31,136
bat_111511_frame0221.jpg_bird_438007_frame0200.jp,g,0.9807701910590811,0.9841413,204,136,52,282,537,147
bat_111511_frame0221.jpg_bird_438007_frame0223.jp,g,0.9766072668140937,0.98287565,36,160,52,282,576,135
bat_111511_frame0221.jpg_bird_457977_frame0129.jp,g,0.9964415846513962,0.97274506,244,340,52,282,84,148
bat_111511_frame0221.jpg_bird_457977_frame0135.jp,g,0.9986727990406881,0.9905795,64,316,52,282,75,121
bat_111511_frame0221.jpg_bird_457977_frame0153.jp,g,0.9645288606458551,0.97906226,248,0,52,282,71,179
bat_111511_frame0221.jpg_bird_457977_frame0155.jp,g,0.9986027626877493,0.9885589,204,340,52,282,67,171
bat_111511_frame0221.jpg_bird_457977_frame0172.jp,g,0.9719227151479621,0.9737506,248,160,52,282,111,97
bat_111511_frame0221.jpg_bird_457977_frame0178.jp,g,0.98888507012473,0.9794839,28,160,52,282,104,69
