Filename 1,Filename 2,Max SSIM,Max nccorr,Max SSIM angle,Max nccorr angle,ROI 1 x,ROI 1 y,ROI 2 x,ROI 2 y
bat_111511_frame0221.jpg,airplane_115815_frame0061.jpg,0.9749121061478911,0.9857266,92,68,52,282,575,335
bat_111511_frame0221.jpg,airplane_12742_frame0082.jpg,0.9539207588503684,0.98878443,292,0,52,282,83,50
bat_111511_frame0221.jpg,airplane_16083_frame0007.jpg,0.9208501653572546,0.9886595,340,344,52,282,164,112
bat_111511_frame0221.jpg,airplane_17175_frame0269.jpg,0.9911326684466024,0.9888441,292,108,52,282,566,173
bat_111511_frame0221.jpg,airplane_17850_frame0035.jpg,0.9947500591251324,0.9822823,0,340,52,282,582,274
bat_111511_frame0221.jpg,airplane_20353_frame0035.jpg,0.9754511919422298,0.98766905,152,160,52,282,34,182
bat_111511_frame0221.jpg,airplane_28134_frame0113.jpg,0.8530233730899284,0.985651,340,340,52,282,595,193
bat_111511_frame0221.jpg,airplane_28325_frame0104.jpg,0.9505890825439943,0.9864674,152,108,52,282,250,91
bat_111511_frame0221.jpg,airplane_288975_frame0149.jpg,0.9919195671699166,0.98564816,128,252,52,282,565,369
bat_111511_frame0221.jpg,airplane_34160_frame0189.jpg,0.9961797864836801,0.98880285,148,160,52,282,450,118
bat_111511_frame0221.jpg,airplane_39246_frame0067.jpg,0.9330071743011543,0.9892907,0,0,52,282,215,44
bat_111511_frame0221.jpg,airplane_44702_frame0047.jpg,0.9398516036485455,0.98579746,292,108,52,282,156,43
bat_111511_frame0221.jpg,airplane_51649_frame0096.jpg,0.9766736019173953,0.9846328,160,20,52,282,33,179
bat_111511_frame0221.jpg,airplane_62191_frame0126.jpg,0.993098269312665,0.97743875,120,72,52,282,507,51
bat_111511_frame0221.jpg,airplane_63666_frame0185.jpg,0.9925950631330686,0.9868916,180,200,52,282,500,214
bat_111511_frame0221.jpg,airplane_63834_frame0118.jpg,0.8597295113976994,0.98825496,164,60,52,282,473,66
bat_111511_frame0221.jpg,airplane_64949_frame0106.jpg,0.9962814170627257,0.9873685,172,288,52,282,582,155
